Q96NB1
A6NMZ7
Q53FT3
Q9ULV0
Q9BRD0
Q6NUQ1
Q96N53
Q96QG7
P02689
Q9UGF5
P08579
Q9BX74
Q9ULH7
P78310
Q9HDC5
Q15726
Q5VZ03
Q9H981
Q8N806
Q674X7
Q9P2M1
A0A1B0GVN3
Q9BY66
Q16378
Q9H5L9
Q8N9P6
Q8N6G6
Q68D91
P30411
Q6IF63
O00519
Q13247
Q9HCH3
O94818
Q56UQ5
Q9BXM0
Q14134
Q8N5C1
P19440
Q14562
Q9UQB8
P62266
Q96JJ3
Q9Y284
Q8N7B9
A8MTJ3
P28907
Q9NYP8
P27544
Q9BZV2
Q8N0V1
Q8NGI4
A4QMS7
P01282
Q8IVL1
Q8NBR0
Q68CP9
P01034
Q6ZN32
Q7Z6G3
Q96CS7
Q6ZWE6
P41597
Q9NNZ3
Q14005
Q659A1
Q6ZNB7
O75379
B6SEH8
Q8TAB5
Q9Y484
Q96FX2
Q16836
P61086
Q9BXP2
Q8WVY7
Q9Y697
Q6P1Q9
Q9NP91
Q9GZV4
Q6ZNG0
Q8N688
P19793
Q9BY49
Q86SQ0
P84098
Q9H205
Q9BQ16
Q6PID6
Q86YI8
P53611
Q9UH65
Q9UBX7
A0A0B4J1V0
P0CJ68
Q9Y487
Q6A162
Q9UHM6
P07357
P17030
Q5QJU3
P19474
Q8IVH8
P40238
Q8N7H1
Q96NZ9
Q9NVA4
Q9NT68
O75679
Q3MIV0
P51530
Q96F86
Q8NA03
Q8TAL6
Q7Z6Z7
Q13145
O95222
C9JLW8
P08185
Q16827
Q96A05
Q86TL0
Q58HT5
Q2M3C7
Q6QAJ8
P08263
Q13231
A0A1B0GV22
Q9H2J4
Q9Y4E8
Q8N412
Q86V35
A6NFY7
O75934
Q6UXN7
A6NEM1
Q96SC8
Q6UX71
Q9H0U4
Q6ZN84
P31321
A2RU30
P0DMU9
A0A0K2S4Q6
O75928
Q5JTW2
P62324
P00403
Q14155
Q9UKW6
A8MTA8
Q96M32
O60784
Q92858
Q14318
Q8N6Q3
A0PJK1
Q6TGC4
Q8NG83
Q9UKT6
Q7Z3E1
P0C7Q2
A0A087WTH5
Q9NRC8
P42345
Q9NUX5
Q8WVZ1
Q9UBE8
Q5EBM4
P35251
Q8NHU3
Q92904
P62851
A6NNV3
P13671
Q9UQC9
Q96HB5
Q6K0P9
P08621
P0C7P4
Q96MP8
Q8TAS1
Q49AR2
Q502W6
O15399
P59282
Q8TAX0
Q96MN9
Q6UXX9
Q8NG68
Q7L945
Q5R372
Q9BR26
Q9Y6P5
Q96M11
Q6ZRI6
Q9Y4R8
Q9BXS9
P78527
Q96BI1
Q15617
Q5T6X4
Q53FP2
Q14137
Q6ZS94
Q9H300
Q58EX2
Q7Z553
Q9H6B1
Q13451
Q712K3
A2RU14
A0A1W2PPG7
P78543
P14384
O75762
Q8TCG1
Q9GZM3
P21283
P54793
Q8ND82
P35226
Q96DY2
P20853
Q8IWU9
O00358
O15357
Q8N0U6
Q9NNX1
Q8IWB1
P09619
Q5XG99
Q70EK8
O60841
O60762
Q8NDX5
P0DN77
Q05066
Q16626
P35354
O75638
P0C7W9
Q96RI8
P08240
A8MXQ7
P61960
Q6W3E5
O95168
Q6ZUL3
A8MZ59
Q96EY7
Q4ZG55
Q8IVJ1
Q2VPA4
Q9Y252
P01743
Q2TAA5
Q6R327
Q86Z20
P60953
Q9BV87
Q16670
Q5VSR9
Q9NYU2
Q8NB49
Q96C12
Q86WV1
P31949
Q92610
Q7RTT9
Q969S9
Q6P0A1
O43765
A0A075B6R2
Q9BXB5
P07947
Q9Y5A7
Q96LC7
Q8IWL1
Q9BQS7
Q0VD83
Q9NWW0
Q8NDZ0
Q15067
Q8NGU1
P19526
Q9BYG0
Q8NGX3
Q07002
Q9UKV5
Q6W0C5
Q92567
Q9HCK1
A0A075B6R0
Q6UX65
Q14585
Q9H3N1
Q9BVT8
Q9BX66
A8MWA6
P33261
O75054
Q8WXI7
Q8N4Q1
Q9Y547
Q8N813
P16284
Q86T29
P55957
Q8WWB3
Q8TDB4
Q9BXY8
Q99731
P42696
P08758
